10	1_5	1	163.27
10	1_5	2	0
10	1_5	3	1
10	5_5	3	−2.6596
10	1_5	1	163.27
10	1_5	2	0
10	1_5	3	1
10	5_5	3	−2.6596
10	7_7	2	-2.736
11	1_5	1	−40.7821860841047
11	1_5	2	-40.782
11	1_5	3	-12.888
11	5_5	1	-41.6095
11	5_5	2	-41.6095
11	5_5	3	-52.559
11	7_7	1	-40.782
11	7_7	3	-52.56
12	1_5	1	247,165,752
12	1_5	2	247,165,752
12	1_5	3	247,165,752
12	5_5	1	−7
12	5_5	2	247,165,752
12	5_5	3	247,165,752
12	7_7	1	247,165,752
12	7_7	2	247,165,752
12	7_7	3	247,165,752
13	1_5	1	8
13	1_5	2	8
13	1_5	3	8
13	5_5	1	8
13	5_5	2	8
13	5_5	3	8
13	7_7	1	8.0
13	7_7	2	8
13	7_7	3	8
14	1_5	1	10405071392
14	1_5	2	10405071392
14	1_5	3	10405071392
14	5_5	1	10405071392
14	5_5	2	10,405,071,392
14	5_5	3	10,405,071,392
14	7_7	1	10,405,071,392
14	7_7	2	10,405,071,392
14	7_7	3	10,405,071,392
15	1_5	3	1.5914
15	5_1	2	0
15	5_5	2	0
15	5_5	3	0
15	7_7	2	0
15	7_7	3	0
16	1_5	1	5
16	1_5	2	2
16	1_5	3	5.0
16	5_5	1	10,405,071,392
16	5_5	2	5.0
16	5_5	3	5.0
17	1_5	1	5
17	1_5	3	5
17	5_5	1	10
17	5_5	2	10.0
17	5_5	3	10.0
18	1_5	1	5.0
18	1_5	2	1
18	1_5	3	−8.028
18	5_5	1	5.0
18	5_5	2	0.5697
18	5_5	3	2.2200792016311013
19	1_5	3	5
19	5_5	1	10.0
19	5_5	2	10
19	5_5	3	10.0
20	1_5	1	1
20	1_5	2	65
20	5_1	3	65
20	5_5	1	1
20	5_5	2	65
20	5_5	3	65
21	1_5	1	5.0
21	1_5	3	5
21	5_1	1	5.0
21	5_1	2	5.0
21	5_1	3	1
21	5_5	2	4.4402
21	6_6	2	−2.028
22	5_5	3	−3.6745
23	1_5	1	10
23	5_1	1	1
23	5_1	3	103,627,063,612.46747
23	5_5	2	1,045,270,009.029
23	5_5	3	1,045,270,006.467
23	6_6	1	1045270006.4674734
23	6_6	2	103,627,063,612.467
24	1_5	2	−5
24	1_5	3	-5.0
24	5_1	1	0
24	5_1	2	−4.24
24	5_1	3	−5
24	5_5	1	−5
24	5_5	2	−5
24	5_5	3	−5
25	1_5	2	1
25	5_1	1	1.5708
25	5_1	2	−0.16025
26	1_5	1	60
26	1_5	2	60.0
26	1_5	3	60
26	5_1	2	1
26	5_1	3	60.0
27	1_5	1	5.0
27	1_5	2	5
27	1_5	3	5
27	5_1	2	5.0
27	5_1	3	1
28	1_5	1	10405071407
28	1_5	2	10405071407
28	1_5	3	10405071407
28	5_1	1	1
28	5_1	2	10405071407
28	5_1	3	1
29	1_5	1	1
29	1_5	2	5
29	5_1	1	0
29	5_1	2	−0.5
29	5_1	3	12.60336
2	1_5	1	45
2	1_5	2	45
2	1_5	3	45
2	5_5	1	-1891
2	5_5	2	45
2	5_5	3	−1891
2	7_7	2	45
30	1_5	1	386.88
30	1_5	2	386.88
30	1_5	3	386
30	5_1	1	386.88
30	5_1	2	384.041
30	5_1	3	386.88
3	1_5	1	-1100
3	1_5	2	−1100
3	1_5	3	−1100
3	5_5	1	-1100
3	5_5	2	-1100
3	5_5	3	−1100
4	1_5	1	1.00
4	1_5	2	1
4	1_5	3	1.0000
4	5_5	1	1.0
4	5_5	2	1.0
4	5_5	3	0.7
4	7_7	3	1.0000
6	1_5	1	39875102470
6	1_5	2	3,511,270
6	1_5	3	33670
6	5_5	1	39,875,102,470
6	5_5	2	3511270
6	5_5	3	39,875,102,470
6	6_6	3	967.706
6	7_7	1	39875102470
6	7_7	2	33670
6	7_7	3	33670
7	1_5	1	1
7	1_5	2	-27,255
7	1_5	3	-10.7778
7	5_5	1	−27255
7	5_5	2	-10.78
7	5_5	3	−10.778
7	7_7	1	-10.7778
7	7_7	2	−9
7	7_7	3	-10.7778
8	1_5	1	1
8	1_5	2	-2.0498923189
8	1_5	3	0.0
8	5_5	1	2
8	5_5	2	2
8	5_5	3	-0.5113
8	6_6	2	0
8	7_7	1	2
8	7_7	3	0
9	1_5	1	0
9	1_5	2	0
9	1_5	3	0
9	5_5	1	0
9	5_5	2	0
9	5_5	3	0
9	7_7	1	0
9	7_7	2	0
9	7_7	3	0
